track_id,class,n_points,lifetime_frames,turning_points,A,B,C,rmse,normalized_rmse,r2,endpoint_ratio,tau_apex,apex_inside
40,C,11,11,1,-0.7675761987593237,1.061824530338686,6.205076645261899,0.03471900426398358,0.028124452732221777,0.9926656467737381,2.0391759650332726,0.6916736944520767,True
41,D,16,16,1,-0.8616189681009692,2.385380584449853,5.671841339179343,0.06039013237844047,0.028381925336784256,0.9920979057850164,1.8185300375811786,1.384243309839902,True
42,A,13,13,1,-0.7441918362449451,1.6436222430029406,5.423361279163108,0.022376658280685555,0.01349372416141931,0.9979317792603968,0.8205716872971967,1.104300103113436,True
43,A,15,15,1,-0.8760220901324542,1.7965741901636665,6.965095584270166,0.029720027329994434,0.01078040675844443,0.9986620358844085,1.4460981295979336,1.0254160313994052,True
44,A,13,13,1,-0.9075862226188863,1.9149152417576614,5.371207483057942,0.03239544377547491,0.0201840488923587,0.9956782186840218,1.3594155904181968,1.0549494880123211,True
45,B,10,10,0,0.08794528076976224,-1.362630464548979,7.100356827111712,0.16360520189930217,0.07779375132885526,0.9471073699555088,2.3816344995068968,7.747035728479276,False
46,E,22,22,2,-0.28677226804119454,1.5640610965658257,4.38063702433902,0.15008619733430117,0.07506827354962546,0.9370621828392578,1.4951639894278723,2.7270089734429095,True
47,E,23,23,3,-0.34649125121547075,1.3040871174956379,6.61527876815115,0.3496531728034803,0.1616012723661272,0.7572462511169722,1.1873691881237143,1.8818471071361509,True
48,A,12,12,1,-0.9335530291729172,1.4319441780840414,7.270941363887182,0.01163835373774765,0.006146148667064786,0.999601110311787,3.028620511521861,0.7669324255488061,True
49,A,8,8,1,-0.9240917333552728,2.251116968321581,6.3955303854160945,0.0076639384352021256,0.005577567391875212,0.9997345104004256,0.9429784332473607,1.2180159647939004,True
50,E,10,10,2,-0.03700231994162123,-0.7250292269651666,7.31061195987315,0.26488744179908397,0.18045164750561038,0.7930622266264052,1.0228978043597072,-9.797077968476696,False
51,B,6,6,0,0.4228259418940673,-1.842075669743554,7.1019627607834,0.08365594683485375,0.05105220349354585,0.9788598625622505,0.6524224338208563,2.17829074239378,False
53,C,12,12,1,-0.7831242321813394,1.1664687278473438,6.2059412223337365,0.056831521728523286,0.0366725454513216,0.987574746945058,3.301725093339592,0.7447533098281381,True
55,B,7,7,0,-0.8823864923035375,0.06290808472796815,6.250167429019886,0.00563006341099267,0.0046774172157410055,0.999817505535531,0.6988871231430377,0.035646559232645196,True
56,D,6,6,1,-0.6994826036097014,0.24346691929328676,6.2943768541701415,0.025421769172133728,0.0548068728261834,0.9782974230897972,0.7699943748965349,0.1740335771303448,True
57,D,17,17,1,-0.5673947443707577,1.2756973632315376,7.437059108488555,0.12478853981751921,0.05274994865433126,0.9706384143069188,1.3625601323954266,1.124170937330667,True
